Date,Close
08/03/2022,118.08
08/04/2022,118.19
08/05/2022,117.47
08/08/2022,117.3
08/09/2022,116.63
08/10/2022,119.7
08/11/2022,118.84
08/12/2022,121.68
08/15/2022,122.08
08/16/2022,121.7
08/17/2022,119.55
08/18/2022,120.17
08/19/2022,117.21
08/22/2022,114.24
08/23/2022,113.86
08/24/2022,113.69
08/25/2022,116.65
08/26/2022,110.34
08/29/2022,109.42
08/30/2022,108.94
08/31/2022,108.22
09/01/2022,109.74
09/02/2022,107.85
09/06/2022,106.81
09/07/2022,109.45
09/08/2022,108.38
09/09/2022,110.65
09/12/2022,110.86
09/13/2022,104.32
09/14/2022,105
09/15/2022,102.91
09/16/2022,102.8
09/19/2022,103.07
09/20/2022,101.14
09/21/2022,99.28
09/22/2022,100.14
09/23/2022,98.74
09/26/2022,98.17
09/27/2022,97.5
09/28/2022,100.05
09/29/2022,97.42
09/30/2022,95.65
10/03/2022,98.64
10/04/2022,101.64
10/05/2022,101.43
10/06/2022,101.42
10/07/2022,98.68
10/10/2022,97.86
10/11/2022,97.18
10/12/2022,97.56
10/13/2022,99.06
10/14/2022,96.56
10/17/2022,99.97
10/18/2022,100.77
10/19/2022,99.63
10/20/2022,99.97
10/21/2022,101.13
10/24/2022,102.52
10/25/2022,104.48
10/26/2022,94.93
10/27/2022,92.22
10/28/2022,96.29
10/31/2022,94.51
11/01/2022,90.47
11/02/2022,86.97
11/03/2022,83.43
11/04/2022,86.58
11/07/2022,88.49
11/08/2022,88.9
11/09/2022,87.32
11/10/2022,93.94
11/11/2022,96.41
11/14/2022,95.7
11/15/2022,98.44
11/16/2022,98.85
11/17/2022,98.36
11/18/2022,97.43
11/21/2022,95.6
11/22/2022,97.05
11/23/2022,98.46
11/25/2022,97.46
11/28/2022,96.05
11/29/2022,95.19
11/30/2022,100.99
12/01/2022,100.99
12/02/2022,100.44
12/05/2022,99.48
12/06/2022,96.98
12/07/2022,94.94
12/08/2022,93.71
12/09/2022,92.83
12/12/2022,93.31
12/13/2022,95.63
12/14/2022,95.07
12/15/2022,90.86
12/16/2022,90.26
12/19/2022,88.44
12/20/2022,89.02
12/21/2022,89.58
12/22/2022,87.76
12/23/2022,89.23
12/27/2022,87.39
12/28/2022,86.02
12/29/2022,88.45
12/30/2022,88.23
01/03/2023,89.12
01/04/2023,88.08
01/05/2023,86.2
01/06/2023,87.34
01/09/2023,88.02
01/10/2023,88.42
01/11/2023,91.52
01/12/2023,91.13
01/13/2023,92.12
01/17/2023,91.29
01/18/2023,91.12
01/19/2023,93.05
01/20/2023,98.02
01/23/2023,99.79
01/24/2023,97.7
01/25/2023,95.22
01/26/2023,97.52
01/27/2023,99.37
01/30/2023,96.94
01/31/2023,98.84
02/01/2023,100.43
02/02/2023,107.74
02/03/2023,104.78
