województwo	x (ludność)	y (małżeństwa)
Dolnośląskie	2908457.00	13599.00
Kujawsko-pomorskie	2090836.00	10294.00
Lubelskie	2151836.00	10911.00
Lubuskie	1020767.00	4875.00
Łódzkie	2508464.00	11405.00
Małopolskie	3364176.00	17361.00
Mazowieckie	5324519.00	24924.00
Opolskie	1002575.00	4822.00
Podkarpackie	2128483.00	11287.00
Podlaskie	1193348.00	6135.00
Pomorskie	2298811.00	11461.00
Śląskie	4593358.00	22765.00
Świętokrzyskie	1265415.00	6051.00
Warmińsko-mazurskie	1445478.00	6978.00
Wielkopolskie	3469464.00	17437.00
Zachodniopomorskie	1717970.00	8183.00
